epoch,precision,learning_rate,epoch_time_seconds,train_loss,train_acc,train_correct,train_samples,test_loss,test_acc,test_correct,test_samples
171,fp16,2e-05,18.445173,1.546,99.77,49885,50000,0.005,91.71,9171,10000
172,fp16,2e-05,18.464315,1.522,99.782,49891,50000,0.006,91.83,9183,10000
173,fp16,2e-05,18.468998,1.459,99.822,49911,50000,0.006,91.66,9166,10000
174,fp16,2e-05,18.455676,1.435,99.782,49891,50000,0.006,91.63,9163,10000
175,fp16,2e-05,18.463136,1.539,99.79,49895,50000,0.005,91.76,9176,10000
176,fp16,2e-05,18.456363,1.474,99.774,49887,50000,0.006,91.57,9157,10000
177,fp16,2e-05,18.447342,1.566,99.76,49880,50000,0.006,91.85,9185,10000
178,fp16,2e-05,18.468804,1.382,99.818,49909,50000,0.006,91.63,9163,10000
179,fp16,2e-05,18.463484,1.497,99.796,49898,50000,0.006,91.69,9169,10000
180,fp16,2e-05,18.477769,1.437,99.82,49910,50000,0.006,91.68,9168,10000
181,fp16,2e-05,18.473882,1.439,99.804,49902,50000,0.006,91.85,9185,10000
182,fp16,2e-05,18.467724,1.364,99.812,49906,50000,0.006,91.82,9182,10000
183,fp16,2e-05,18.449787,1.474,99.794,49897,50000,0.006,91.72,9172,10000
184,fp16,2e-05,18.449442,1.478,99.776,49888,50000,0.006,91.83,9183,10000
185,fp16,2e-05,18.459809,1.449,99.792,49896,50000,0.006,91.82,9182,10000
186,fp16,2e-06,18.463548,1.366,99.82,49910,50000,0.006,91.6,9160,10000
187,fp16,2e-06,18.450446,1.421,99.814,49907,50000,0.006,91.76,9176,10000
188,fp16,2e-06,18.441545,1.487,99.764,49882,50000,0.006,91.75,9175,10000
189,fp16,2e-06,18.450996,1.441,99.8,49900,50000,0.006,91.76,9176,10000
190,fp16,2e-06,18.45373,1.39,99.822,49911,50000,0.006,91.63,9163,10000
191,fp16,2e-06,18.453285,1.492,99.792,49896,50000,0.005,91.72,9172,10000
192,fp16,2e-06,18.447408,1.429,99.81,49905,50000,0.006,91.75,9175,10000
193,fp16,2e-06,18.462614,1.527,99.754,49877,50000,0.006,91.65,9165,10000
194,fp16,2e-06,18.440163,1.432,99.774,49887,50000,0.006,91.82,9182,10000
195,fp16,2e-06,18.437886,1.451,99.798,49899,50000,0.006,91.77,9177,10000
196,fp16,2e-06,18.446237,1.474,99.788,49894,50000,0.006,91.8,9180,10000
197,fp16,2e-06,18.422799,1.461,99.778,49889,50000,0.006,91.72,9172,10000
198,fp16,2e-06,18.430009,1.513,99.776,49888,50000,0.006,91.71,9171,10000
199,fp16,2e-06,18.442244,1.337,99.82,49910,50000,0.006,91.73,9173,10000
200,fp16,2e-06,18.417676,1.544,99.754,49877,50000,0.006,91.72,9172,10000
